puuid,games,wins,winrate
-fROGsovf3B0ZWod5uIqD8NQdh7iLy1k92ebTnjdVwrHcK-G-UkDzRjFsMRyN4lDvbwA2TYwWurmsA,2,0,0.0
-fUcgOodLH9xk162naCnEl0818Dm5WQz-eCBTMt-EGsj6MQGwU4rkqMBwvCjNwDdyXMCJjYBYxGm0Q,1,1,1.0
-g4Tl7PXIsQWSRD0RWB20WsWQnx6WQmnUga8KGe0qyL6YKv7YsBl2tJe-J_032OP18gY1YKcjALidg,1,1,1.0
-hSuVx2B-CRW6smeQvNF3TSvzatOqkFUUeq-kf1OSsSP01G29UjDO3Hbq_JEy9htZXPPBHnoyl8FBA,1,0,0.0
-i-tb1HKMFhX4DOuehDnzQ6iuM0GnXc92aZL0W9CHhVcgYBRXEer5Tng0Vry0qr29eScUS6RQhS4Ag,1,0,0.0
-iZO5K1bOwrdkMNpyDta4w9ZGOlUysb1TQyVXFIvVxdTCfHd4i-yAPgXvUOVPG4mpr6OHN7rdSDmfg,1,0,0.0
-iatF0KdDJc4F-Kfa2GBxSn-m-3eKV93-USR-3uTfLY0QQExeFpe58CEpINcBU-23nKgFtjXc3JQKA,1,1,1.0
-icFB_FpE28BZRYNMzaem6Y_aGn9qFw2WxulXbcC4NK_tw44VQJpPJptae2D3vU-8Ct3kBWZUDu7OA,1,0,0.0
-kcuvWjhoxQA3OYrCVMaVamwkD64udP9N4__Blr6_71fZXLveTiBGqZye683dXyEB-7OwYkQq5hmNQ,1,0,0.0
-kxejzhEzqjvD-Ls9_ph5emK64QpJEQfn0dY0gH_hI2RczhS84RxUuw5JkXxDYQsmtlCMR5ZvTV0BA,2,1,0.5
-lnOjRSDzDcrz_NT9xrCKYb9PrfzNLf4HdL2u3Nylh_Ol0HU2Kol_FZRlujA2dUBwAYZkadElCiPUg,1,1,1.0
-mSA7BWflk4qMurdbYgESDItHf9j0Oq7QUBQP8RV8X-m-zY4h7TGTn-RIs-Ug-O2ooailzKJbC7EXA,1,1,1.0
-nL3z4z_VDjKN4zOnrZ4x5AyyuP7zTkTgS9STwbdLivubEj4r3VSod8Q-T-9NGQVMvdAMMlnHbrOWA,1,0,0.0
-nxwHbsaVSHTd4N_Y2Omq-dKSdO5YWEVo_Ca1w9dxkUMyUgKu9wJoB_UDzsOIZC-BfszSsvdnrLLlg,1,1,1.0
-oH2qMM9M4jBeJnnZLCHyYUzE3qqNikdhO7dnjjMjNzqqsboXtDSQcKL6b8mopyykuhYKkLVJHxphA,1,1,1.0
-pimx7rhHbuZVDYG6MkwlruMpd8olitwEFyfIwy5slEH9x-vmMkwj6E39kKlx5oRrkTJivfwvHzTXg,1,1,1.0
-pvx-lbHLs16lK7Y8ivshJyCc-H5jm_6_AxifWarGi-7sLgp1mXz1Rg0OnWGkI6sctDorg7LaHZs6w,1,1,1.0
-q0RR4h37MlT5CVaynxL26onIuK-8n6pfCfhV1ehrVs6sjTJ62IZWoq7-OPsGuLnkaX-Mzt64lRE7w,1,0,0.0
-q1OWlzaYIZal-4IG-Hk3CI15Ui8xbPcB8P8vuxyKirExZ2d6qOqdn1vI_wKS1BNYZr6BaWG5WivOQ,2,2,1.0
-qZ3XxYVhZuIj_McXCD8TepZF6jWqynwDh4_rP1xmYm-uk4m2psxXxzzYXKM1irPxJresDZOSHf9VA,2,1,0.5
-qp-olJbB1I3JIs9huicFFSPquQ-FKX4wu9Z8jZbxZQcB9rv3YmgrfuEooMd_PBS50O2ONixxlm6Zg,1,0,0.0
-rSdUfXfGPgCm2eUqt2NbqxXJMMAzCnw2-24JJHPH6uJFnYMN-L49654uT26tP-bs8z0oN7I9D3DYQ,1,1,1.0
-rUGJiXzMVEODHypksgijqtYeWg0L2O4aMS5u7fVgTwR3iF6RAXQh0z3VyzDd2YLeMJeVvNigH1yug,1,1,1.0
-rd5UApujidVCiXtZ8AB8LsLEp58eDI94EfLVS3UTGbUbI8Rg_hVhg5tzjs0EIeu3Ui_4OkOe7OOWA,1,1,1.0
