puuid,games,wins,winrate
-H_zjb5GWSfbuv_M-4ekM0HvD-lLJrcHnjsfdUlGUA_cXgbhjhzwuayekn7Lz8zWhY3QhEQGQtraHg,3,1,0.3333333333333333
-HwL8awCz3E7MdM8U-EvbZu8iCMD9LaO36_lmOJptN-uYaIB4fK2ia20hEYp9_S1-M2ZWfeijR3qXw,2,1,0.5
-I77rbkmJIOgt_Rs4Spu4swxjK0wV_p3HM3wEV5t5BqPY-LcxIeYtSsYbmz4JBzto5Q10MyR-P1yAQ,1,0,0.0
-ICn8hSD7LtV8DdMEFCVQWRxxyU8Z9OgUbmSNf3dj0Tfn2uNOnQ6u5S3mjUAx31hof4aTIifMoyTlQ,2,1,0.5
-IKrlRlqQ8G57xXJIXa9XpKQiGqpiohZ6RKaMz2zzMIYt0qwMG5K-I0WebRI2eg_12PJi87scaiChg,1,0,0.0
-IqdW0QC9qMHDYxdsvgWH5ssQ0U3DQD7wS5hXJYz5Dta41OQUEYiO3Lk2lef1jnlMSH-I60R5ICMrg,7,4,0.5714285714285714
-J1JPQA5sYKlYqN9Zg-ybKjs1HGWMgOGjqUMtYxOYW55264Yw9pUj7Rf98sQX7Q5huRhwVwGp4pzww,1,0,0.0
-J4l1tkQdLd6dfgt1YiKTenbWOCUzerAx8uTRNxKqwqpH9N0Nwi0uilgcwzNDLtJ9ei040d2nNY6KA,2,1,0.5
-JDPsQCY1jikZmvHTQVWs1TqjVTfDhaqaPjYr1kKzD7wqIqIOrdWyBL5WYDnz5TzpLJaQDugGeBlHg,1,0,0.0
-JOfssifhkqgARYg-ZU16xG7o6RE2Ki89Lt4I_ATsxFklK6-QukFGdKOLEuSsVbFHfBlxyVMhlyVdg,2,1,0.5
-JQQeT2t-oIjVyUA29wVTfmEfkLcDXvP_CyNXJLRTD2LgW1YZ8_1bZQax93ZwoIs7ZMY1x0CqbizJg,1,1,1.0
-JRY6DW7mqud6wRDlbHHKhWtiVBY55-9zxah-aXBHJtHXU5rz5k_q6ViMmCwWr11KMehMCt94fl9lQ,3,1,0.3333333333333333
